# my_ft_vs_vdc.tbl
# Second order Fourier component of equilibrium orbit y-component as function of Vdc
#
# Vdc(V) my
0.1 0.376627066954345
0.098 0.375112519445701
0.096 0.371480489454217
0.094 0.365338217795034
0.092 0.357366705763737
0.09 0.349591035005263
0.088 0.339722679855741
0.086 0.325862971079023
0.084 0.306775025788076
0.082 0.283544942559698
0.08 0.251333716273633
0.078 0.190621277204006
0.076 0.234747565968151
0.074 0.21448521217433
0.072 0.184716930212732
0.07 0.158606806853533
0.068 0.13060272890546
0.066 0.0610729023195048
0.064 0.0296858741725348
0.062 0.0216453784952167
0.06 0.00690584056699593
