# mz_ft_vs_vdc.tbl
# First order Fourier component of equilibrium orbit z-component as function of Vdc
#
# Vdc(V) mz
0.1 0.222400999327126
0.098 0.221381385624999
0.096 0.219649842476959
0.094 0.21725878137336
0.092 0.214038402918573
0.09 0.210807084449265
0.088 0.206491220597315
0.086 0.200598090277215
0.084 0.192820032419038
0.082 0.182136193172155
0.08 0.163396162225721
0.078 0.139626864976157
0.076 0.154502818266157
0.074 0.145827477538217
0.072 0.132077613873165
0.07 0.118037834620551
0.068 0.102267308352137
0.066 0.0601532721359497
0.064 0.0404677471016758
0.062 0.0333886108065594
0.06 0.0162185928793854
